,Entity,Code,Year,Number of executions (Amnesty International),Meningitis,Alzheimer's disease and other dementias,Parkinson's disease,Nutritional deficiencies,Malaria,Drowning,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug use disorders,Tuberculosis,Cardiovascular diseases,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Self,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings,Protein,Terrorism (deaths),Road injuries,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,"Fire, heat, and hot substances",Acute hepatitis,Country_Name,Country_Code,African_Region
0,United States,USA,2007,42,1249.0,114585.0,23705.0,4238.0,0.0,3864.0,19370.0,1062.0,12444.0,28251.0,953.0,836120.0,69811.0,15210.0,10896.0,39352.0,240.0,9586.0,1201.0,625940.0,1031.0,73228.0,72852.0,1414.0,3861.0,0.0,46498.0,172341.0,51575.0,103120.0,4301.0,152.0,United States of America,USA,
1,United States,USA,2008,37,1223.0,117064.0,24369.0,4280.0,0.0,3819.0,18716.0,1103.0,11400.0,29263.0,926.0,833165.0,69921.0,14606.0,11191.0,40357.0,231.0,10287.0,1186.0,637146.0,487.0,72592.0,76152.0,1435.0,3907.0,2.0,44535.0,177366.0,53086.0,105255.0,3927.0,144.0,United States of America,USA,
2,United States,USA,2009,52,1186.0,118965.0,24760.0,4277.0,0.0,3753.0,17944.0,1080.0,10551.0,30482.0,891.0,823362.0,68989.0,13675.0,11476.0,41273.0,125.0,10637.0,1176.0,644331.0,502.0,71235.0,78863.0,1448.0,3924.0,18.0,42561.0,179468.0,54496.0,106814.0,3753.0,137.0,United States of America,USA,
3,United States,USA,2010,46,1141.0,121781.0,25309.0,4367.0,0.0,3684.0,17329.0,991.0,9143.0,31798.0,868.0,820215.0,68625.0,12837.0,11831.0,41719.0,177.0,10928.0,1184.0,648290.0,579.0,69915.0,82391.0,1443.0,4024.0,4.0,40874.0,182265.0,55472.0,108110.0,3504.0,129.0,United States of America,USA,
4,United States,USA,2011,43,1126.0,124656.0,26123.0,4538.0,0.0,3669.0,17224.0,1050.0,8428.0,34070.0,862.0,830800.0,69967.0,12602.0,12227.0,42805.0,828.0,11327.0,1208.0,659516.0,489.0,68571.0,86464.0,1477.0,4192.0,0.0,40383.0,187463.0,57598.0,111120.0,3714.0,124.0,United States of America,USA,
5,United States,USA,2012,43,1108.0,127120.0,26781.0,4707.0,0.0,3647.0,17577.0,1090.0,7973.0,36284.0,858.0,837102.0,70573.0,12455.0,12635.0,43395.0,235.0,11466.0,1206.0,668318.0,326.0,67741.0,89367.0,1485.0,4360.0,7.0,39985.0,191590.0,59351.0,113403.0,3416.0,121.0,United States of America,USA,
6,United States,USA,2013,39,1106.0,129640.0,27531.0,4943.0,0.0,3606.0,16767.0,1172.0,7682.0,39366.0,871.0,847344.0,72196.0,12376.0,13089.0,44026.0,216.0,11553.0,1231.0,678428.0,170.0,67235.0,92802.0,1501.0,4601.0,23.0,39785.0,196459.0,61199.0,116058.0,3831.0,120.0,United States of America,USA,
7,United States,USA,2014,35,1102.0,131616.0,28193.0,5268.0,0.0,3627.0,16618.0,1188.0,7413.0,43517.0,879.0,858443.0,73161.0,12284.0,13542.0,44950.0,235.0,11541.0,1268.0,689157.0,91.0,67583.0,96182.0,1540.0,4918.0,26.0,40155.0,200484.0,63045.0,118754.0,3798.0,120.0,United States of America,USA,
8,United States,USA,2015,28,1115.0,134411.0,29081.0,5661.0,0.0,3727.0,18164.0,1200.0,7089.0,49086.0,900.0,876853.0,74766.0,12235.0,14005.0,46209.0,287.0,11625.0,1304.0,700941.0,74.0,68860.0,99915.0,1591.0,5301.0,54.0,41198.0,205998.0,64842.0,121845.0,3822.0,120.0,United States of America,USA,
9,United States,USA,2016,20,1131.0,136673.0,29748.0,5952.0,0.0,3846.0,19254.0,1252.0,7430.0,56028.0,927.0,892268.0,75385.0,12035.0,14347.0,47550.0,252.0,11572.0,1370.0,715197.0,57.0,70534.0,102601.0,1642.0,5586.0,68.0,42360.0,209980.0,66395.0,124438.0,3899.0,120.0,United States of America,USA,
10,United States,USA,1990,,1830.0,73079.0,12895.0,2795.0,0.0,4370.0,25341.0,538.0,27789.0,5865.0,2271.0,879646.0,72716.0,19306.0,6763.0,33964.0,230.0,681.0,1468.0,539139.0,21.0,47140.0,33101.0,1330.0,2419.0,5.0,48970.0,106098.0,37386.0,78301.0,5336.0,202.0,United States of America,USA,
11,United States,USA,1991,,1615.0,78365.0,13217.0,2855.0,0.0,4246.0,26081.0,525.0,32425.0,6151.0,2172.0,877798.0,73655.0,18307.0,6868.0,34014.0,124.0,746.0,1406.0,544760.0,159.0,49037.0,33885.0,1282.0,2481.0,2.0,47833.0,109587.0,37417.0,78694.0,5204.0,210.0,United States of America,USA,
12,United States,USA,1992,,1558.0,83053.0,13600.0,2945.0,0.0,4069.0,25307.0,509.0,36485.0,6596.0,2055.0,874992.0,74500.0,17259.0,7035.0,34067.0,123.0,816.0,1371.0,550919.0,78.0,51045.0,34919.0,1225.0,2569.0,2.0,46690.0,113036.0,37599.0,79310.0,4878.0,221.0,United States of America,USA,
13,United States,USA,1993,,1550.0,87768.0,14301.0,3148.0,0.0,4075.0,25598.0,511.0,40523.0,7269.0,1986.0,895086.0,77518.0,16700.0,7200.0,34893.0,254.0,925.0,1635.0,565698.0,72.0,54543.0,36767.0,1216.0,2748.0,,47119.0,119371.0,38715.0,81626.0,5100.0,232.0,United States of America,USA,
14,United States,USA,1994,,1530.0,91491.0,14816.0,3312.0,0.0,3999.0,24898.0,524.0,44959.0,7862.0,1877.0,899691.0,78885.0,15899.0,7347.0,35122.0,303.0,1034.0,1416.0,573321.0,44.0,57260.0,38199.0,1192.0,2900.0,10.0,47262.0,123547.0,39290.0,82913.0,4794.0,243.0,United States of America,USA,
15,United States,USA,1995,,1514.0,94855.0,15434.0,3530.0,0.0,3967.0,23477.0,489.0,45213.0,8466.0,1781.0,908922.0,80421.0,15042.0,7484.0,35211.0,133.0,1170.0,1911.0,582371.0,190.0,60140.0,39946.0,1161.0,3103.0,178.0,47551.0,128157.0,40019.0,84395.0,4688.0,257.0,United States of America,USA,
16,United States,USA,1996,,1504.0,96526.0,15962.0,3741.0,0.0,3857.0,21706.0,508.0,33684.0,9135.0,1679.0,907009.0,80927.0,14531.0,7578.0,34804.0,266.0,1330.0,1428.0,583202.0,43.0,62422.0,41627.0,1137.0,3298.0,2.0,47416.0,131733.0,40254.0,85128.0,4961.0,264.0,United States of America,USA,
17,United States,USA,1997,,1514.0,96342.0,16545.0,3978.0,0.0,3810.0,20385.0,534.0,19425.0,10111.0,1584.0,904335.0,81097.0,14439.0,7701.0,34622.0,261.0,1571.0,1383.0,583773.0,32.0,64519.0,43504.0,1109.0,3519.0,2.0,47374.0,135669.0,40662.0,86166.0,4472.0,275.0,United States of America,USA,
18,United States,USA,1998,,1517.0,95816.0,17349.0,4263.0,0.0,3831.0,19286.0,508.0,15921.0,11243.0,1512.0,909266.0,81393.0,14632.0,7924.0,34395.0,283.0,1907.0,1443.0,589017.0,197.0,67162.0,46077.0,1079.0,3783.0,4.0,47341.0,141289.0,41422.0,87807.0,4380.0,289.0,United States of America,USA,
19,United States,USA,1999,,1566.0,95512.0,18354.0,4617.0,0.0,3749.0,18421.0,575.0,17187.0,12894.0,1450.0,920654.0,78509.0,14776.0,8298.0,34091.0,259.0,2531.0,1470.0,597618.0,46.0,70341.0,49593.0,1086.0,4122.0,20.0,47717.0,148677.0,42462.0,90133.0,4342.0,323.0,United States of America,USA,
20,United States,USA,2000,,1458.0,96426.0,19242.0,4760.0,0.0,3728.0,18204.0,617.0,16072.0,14578.0,1320.0,918346.0,77117.0,14828.0,8666.0,34363.0,140.0,3266.0,1296.0,602487.0,41.0,72376.0,53052.0,1117.0,4261.0,0.0,48207.0,153230.0,43766.0,92314.0,4296.0,301.0,United States of America,USA,
21,United States,USA,2001,,1399.0,98558.0,20082.0,4736.0,0.0,3720.0,18723.0,644.0,15493.0,16544.0,1249.0,913252.0,75748.0,14623.0,9062.0,35048.0,154.0,4020.0,1225.0,606130.0,4279.0,74237.0,56223.0,1161.0,4255.0,3008.0,48737.0,156917.0,45248.0,94619.0,4470.0,282.0,United States of America,USA,
22,United States,USA,2002,,1367.0,101170.0,20907.0,4704.0,0.0,3772.0,18979.0,634.0,15477.0,19039.0,1191.0,908753.0,75438.0,14839.0,9418.0,35851.0,249.0,4932.0,1405.0,610949.0,66.0,75715.0,59027.0,1224.0,4237.0,4.0,49318.0,160322.0,46713.0,96726.0,4190.0,264.0,United States of America,USA,
23,United States,USA,2003,,1344.0,104024.0,21562.0,4570.0,0.0,3761.0,18911.0,793.0,15100.0,21447.0,1122.0,895284.0,74344.0,14976.0,9740.0,36275.0,251.0,5870.0,1187.0,612745.0,538.0,76291.0,61472.0,1265.0,4123.0,0.0,49243.0,162757.0,47856.0,98219.0,4470.0,242.0,United States of America,USA,
24,United States,USA,2004,,1293.0,106572.0,21922.0,4392.0,0.0,3747.0,18767.0,921.0,14416.0,23456.0,1057.0,868245.0,72066.0,14859.0,10033.0,36380.0,180.0,6844.0,1172.0,609433.0,927.0,75309.0,63437.0,1279.0,3977.0,0.0,48526.0,163040.0,48073.0,98223.0,4021.0,218.0,United States of America,USA,
25,United States,USA,2005,,1288.0,109900.0,22755.0,4372.0,0.0,3850.0,19380.0,1007.0,13839.0,25614.0,1028.0,864804.0,72273.0,15105.0,10356.0,37506.0,3923.0,7953.0,1313.0,615940.0,969.0,75892.0,67056.0,1343.0,3967.0,0.0,48654.0,167679.0,49642.0,100617.0,4040.0,189.0,United States of America,USA,
26,United States,USA,2006,,1273.0,112291.0,23243.0,4257.0,0.0,3888.0,19765.0,1042.0,13265.0,27277.0,995.0,850549.0,70966.0,15221.0,10670.0,38544.0,185.0,8885.0,1450.0,620516.0,948.0,74669.0,69954.0,1388.0,3866.0,1.0,48092.0,169726.0,50663.0,101979.0,4229.0,168.0,United States of America,USA,
27,United States,USA,2017,,1137.0,138750.0,30014.0,5814.0,0.0,3769.0,18831.0,1101.0,7338.0,60518.0,929.0,899212.0,76510.0,11642.0,14169.0,46740.0,243.0,11354.0,1346.0,725719.0,17.0,72239.0,101751.0,1599.0,5453.0,95.0,42206.0,211269.0,65977.0,124473.0,3577.0,124.0,United States of America,USA,
28,United States,USA,2018,,1142.0,141681.0,31277.0,5934.0,0.0,3687.0,18086.0,1048.0,7200.0,62871.0,956.0,929375.0,79227.0,11223.0,14162.0,46011.0,220.0,11518.0,1365.0,750419.0,2.0,75081.0,104364.0,1562.0,5565.0,,41792.0,218546.0,66816.0,127040.0,3683.0,129.0,United States of America,USA,
29,United States,USA,2019,,1146.0,143919.0,32211.0,6090.0,0.0,3615.0,17709.0,990.0,7053.0,65717.0,978.0,957455.0,81921.0,10994.0,14044.0,45349.0,105.0,11727.0,1378.0,773895.0,31.0,77719.0,106954.0,1528.0,5710.0,,41362.0,224988.0,67286.0,129343.0,3616.0,131.0,United States of America,USA,
