,Entity,Code,Year,70+ years,50-69 years,15-49 years,5-14 years,Under 5 years,Country_Name,Country_Code,African_Region
0,United States,USA,1990,1311304,534778,232106,8544,45719,United States of America,USA,
1,United States,USA,1991,1334471,528848,237222,8455,43894,United States of America,USA,
2,United States,USA,1992,1359629,520011,241288,8343,41595,United States of America,USA,
3,United States,USA,1993,1414194,524770,249661,8546,40324,United States of America,USA,
4,United States,USA,1994,1446815,521408,255340,8553,38306,United States of America,USA,
5,United States,USA,1995,1485079,519607,257117,8502,36091,United States of America,USA,
6,United States,USA,1996,1505712,509266,246763,8335,34589,United States of America,USA,
7,United States,USA,1997,1522571,501991,233012,8033,33814,United States of America,USA,
8,United States,USA,1998,1552524,501356,227942,7822,33763,United States of America,USA,
9,United States,USA,1999,1588683,506795,229772,7632,33545,United States of America,USA,
10,United States,USA,2000,1605276,509856,232460,7399,33376,United States of America,USA,
11,United States,USA,2001,1616150,515469,239791,7441,33135,United States of America,USA,
12,United States,USA,2002,1624543,524645,240937,7137,33138,United States of America,USA,
13,United States,USA,2003,1619031,533948,242045,7041,33346,United States of America,USA,
14,United States,USA,2004,1594623,536715,238865,6865,33156,United States of America,USA,
15,United States,USA,2005,1608050,551147,242150,7001,33757,United States of America,USA,
16,United States,USA,2006,1601557,559468,239706,6326,33885,United States of America,USA,
17,United States,USA,2007,1596513,569699,234503,6157,34029,United States of America,USA,
18,United States,USA,2008,1608522,586219,228731,5822,32818,United States of America,USA,
19,United States,USA,2009,1604095,600235,224035,5639,30930,United States of America,USA,
20,United States,USA,2010,1614179,608995,216911,5427,29143,United States of America,USA,
21,United States,USA,2011,1643565,627036,215119,5437,28477,United States of America,USA,
22,United States,USA,2012,1661592,644846,212186,5313,27986,United States of America,USA,
23,United States,USA,2013,1689713,661297,211126,5338,27686,United States of America,USA,
24,United States,USA,2014,1715014,680022,213144,5324,27456,United States of America,USA,
25,United States,USA,2015,1751611,700772,220203,5428,27474,United States of America,USA,
26,United States,USA,2016,1777133,724660,230793,5515,27149,United States of America,USA,
27,United States,USA,2017,1801791,724538,231687,5422,26271,United States of America,USA,
28,United States,USA,2018,1876142,736035,227657,5366,25315,United States of America,USA,
29,United States,USA,2019,1946636,744796,225003,5278,24743,United States of America,USA,
